Transaction_ID,Date,Branch,Product_Category,Product_Name,Unit_Price,Quantity_Sold,Revenue,Cost,Profit,Customer_Gender,Customer_Age_Group,Payment_Method
TXN14177,2024-02-02,Enugu,Baby Products,Cow & Gate Formula (400g),8250,2,16500,12250,4250.0,Female,26-35,Transfer
TXN14752,2024-03-04,Ikeja,Grains & Staples,Cornflakes (500g),4400,1,4400,3581,819.0,Male,36-45,Mobile Money (OPay/Palmpay)
TXN12426,2023-08-16,Ikeja,Frozen & Dairy,Turkey Wings (1kg),11920,3,35760,26934,8826.0,Female,26-35,POS/Card
TXN10850,2024-02-23,Lekki,Household & Cleaning,Bucket (15L),1950,5,9750,7151,2599.0,Male,26-35,POS/Card
TXN14524,2024-01-30,Ikeja,Grains & Staples,Golden Penny Flour (5kg),5120,1,5120,3941,1179.0,Male,18-25,Cash
TXN10800,2024-05-28,Ikeja,Household & Cleaning,Omo Washing Powder (1kg),3180,6,19080,14122,4958.0,Male,18-25,Cash
TXN17028,2023-09-28,Abuja-Garki,Snacks & Confectionery,Pringles (165g),880,3,2640,1738,902.0,Female,46-55,POS/Card
TXN10506,2024-05-28,Ikorodu,Grains & Staples,Indomie Noodles (40 pack),4390,1,4390,3474,916.0,Female,55+,Mobile Money (OPay/Palmpay)
TXN14134,2023-05-07,Lekki,Household & Cleaning,Air Freshener (Glade),1580,2,3160,2239,921.0,Female,26-35,Transfer
TXN17128,2023-05-19,Abuja-Wuse,Frozen & Dairy,Mackerel Fish (1kg),10330,2,20660,16127,4533.0,Female,36-45,POS/Card
TXN16104,2024-01-04,Owerri,Grains & Staples,Golden Morn Cereal,1440,2,2880,2351,529.0,Female,26-35,POS/Card
TXN15302,2024-03-31,Port Harcourt,Baby Products,Baby Oil (Johnson 300ml),12180,2,24360,17001,7359.0,Female,55+,Cash
TXN13063,2023-12-20,Lagos-Island,Fresh Produce,Watermelon,2910,1,2910,2036,874.0,Male,46-55,POS/Card
TXN11920,2023-05-14,Lekki,Fresh Produce,Tomatoes (1kg),1100,2,2200,1481,719.0,Male,36-45,Mobile Money (OPay/Palmpay)
TXN14503,2024-06-21,Abuja-Garki,Household & Cleaning,Mopping Stick,2140,6,12840,8796,4044.0,Male,,Transfer
TXN14735,2024-02-20,Port Harcourt,Frozen & Dairy,Sausage Roll (5 pack),9820,1,9820,8045,1775.0,Female,36-45,Cash
TXN17003,2024-06-16,Ibadan,Personal Care,Dove Soap (6 pack),7040,3,21120,14589,6531.0,Female,36-45,Cash
TXN16683,2024-06-29,Abuja-Wuse,Personal Care,Always Pad (night),7320,2,14640,10040,4600.0,Male,36-45,POS/Card
TXN11416,2023-03-31,Ikeja,Grains & Staples,Beans (2kg),5050,2,10100,7455,2645.0,Female,46-55,Cash
TXN15621,2024-02-14,Ikeja,Fresh Produce,Onions (1kg),1770,1,1770,1243,527.0,Male,18-25,Mobile Money (OPay/Palmpay)
TXN14800,2023-04-17,Port Harcourt,Household & Cleaning,Omo Washing Powder (1kg),830,3,2490,1720,770.0,Male,26-35,POS/Card
TXN10702,2023-07-28,Abuja-Garki,Snacks & Confectionery,Tom Tom Candy (pack),2040,3,6120,3781,2339.0,Female,36-45,POS/Card
TXN17439,2023-12-20,Ikorodu,Fresh Produce,Cucumber (3 pack),1020,2,2040,1367,673.0,Male,36-45,POS/Card
TXN17369,2024-02-29,Abuja-Wuse,Household & Cleaning,Ariel Detergent (2kg),5400,4,21600,14346,7254.0,Male,26-35,Transfer
TXN15098,2023-11-28,Owerri,Baby Products,Baby Oil (Johnson 300ml),1890,1,1890,1361,529.0,Male,36-45,Transfer
TXN13115,2023-09-19,Enugu,Beverages,Lucozade Boost,3500,1,3500,2796,704.0,Female,46-55,Mobile Money (OPay/Palmpay)
TXN17087,2024-06-14,Surulere,Fresh Produce,Carrot (500g),990,1,990,714,276.0,Female,46-55,POS/Card
TXN13078,2023-03-16,Surulere,Beverages,Ribena (250ml),1320,1,1320,1005,315.0,Male,26-35,POS/Card
TXN15776,2024-05-06,Ikeja,Frozen & Dairy,Frozen Chicken (1kg),1910,1,1910,1466,444.0,Male,18-25,POS/Card
TXN11322,2023-04-17,Ikeja,Frozen & Dairy,Frozen Chicken (1kg),8560,1,8560,7226,1334.0,Male,36-45,Transfer
TXN16757,2023-02-20,Port Harcourt,Household & Cleaning,Safi Bleach (1L),2460,3,7380,4921,2459.0,Male,26-35,Transfer
TXN13044,2023-10-21,Surulere,Snacks & Confectionery,Peanut Butter (340g),2090,3,6270,3798,2472.0,Female,18-25,Transfer
TXN12709,2023-02-20,Port Harcourt,Baby Products,Baby Rash Cream,2260,1,2260,1561,699.0,Male,26-35,Cash
TXN17381,2024-03-19,Ikorodu,Grains & Staples,Spaghetti (500g),4340,3,13020,10055,2965.0,Female,18-25,POS/Card
TXN13718,2024-04-08,Port Harcourt,Household & Cleaning,Bucket (15L),1780,12,21360,14349,7011.0,Female,36-45,POS/Card
TXN11679,2023-05-02,Ikorodu,Fresh Produce,Ugu Leaves,1590,8,12720,9095,3625.0,Female,26-35,Transfer
TXN12014,2023-02-05,Port Harcourt,Snacks & Confectionery,Coconut Chips,4440,8,35520,23716,11804.0,Female,26-35,Transfer
TXN16397,2024-05-09,Abuja-Garki,Beverages,Ribena (250ml),5870,1,5870,4574,1296.0,Female,46-55,POS/Card
TXN13252,2023-08-12,Surulere,Personal Care,Colgate Toothpaste (150g),3770,2,7540,5313,2227.0,Female,36-45,Mobile Money (OPay/Palmpay)
TXN10144,2023-09-02,Abuja-Wuse,Beverages,Hollandia Yogurt (1L),9350,1,9350,6846,2504.0,Female,26-35,Transfer
TXN13085,2023-11-29,Ikorodu,Snacks & Confectionery,Shortbread Cookies,330,10,3300,2117,1183.0,Male,46-55,POS/Card
TXN17326,2023-07-21,Owerri,Household & Cleaning,Omo Washing Powder (1kg),790,6,4740,3508,1232.0,Male,,POS/Card
TXN10849,2024-05-13,Lekki,Grains & Staples,Dangote Rice (5kg),5870,2,11740,9495,2245.0,Male,46-55,Transfer
TXN11187,2023-12-20,Ibadan,Fresh Produce,Pawpaw,1630,1,1630,1133,497.0,Female,36-45,Cash
TXN14070,2024-04-13,Port Harcourt,Household & Cleaning,Air Freshener (Glade),1070,3,3210,2381,829.0,Male,,POS/Card
TXN13014,2023-05-16,Port Harcourt,Frozen & Dairy,Peak Evaporated Milk (tin),2440,10,24400,18760,5640.0,Male,26-35,POS/Card
TXN15078,2023-01-03,Port Harcourt,Grains & Staples,Spaghetti (500g),1920,4,7680,5632,2048.0,Male,55+,Cash
TXN10091,2024-02-12,Enugu,Personal Care,ORS Hair Relaxer,8310,2,16620,11606,5014.0,Female,36-45,Transfer
TXN15203,2024-04-23,Enugu,Frozen & Dairy,Butter (250g),8990,2,17980,13901,4079.0,Male,18-25,Cash
TXN13338,2024-02-06,Kano,Fresh Produce,Tomatoes (1kg),1890,2,3780,2666,1114.0,,36-45,POS/Card
TXN14127,2024-03-14,Ikeja,Household & Cleaning,Omo Washing Powder (1kg),6270,3,18810,12606,6204.0,Male,46-55,Cash
TXN11578,2024-01-11,Ikeja,Personal Care,ORS Hair Relaxer,5280,2,10560,7291,3269.0,Female,36-45,Cash
TXN11766,2023-04-03,Surulere,Frozen & Dairy,Peak Evaporated Milk (tin),5820,1,5820,4687,1133.0,,26-35,Transfer
TXN11336,2024-02-24,Lekki,Grains & Staples,Spaghetti (500g),7910,2,15820,11575,4245.0,Female,46-55,Mobile Money (OPay/Palmpay)
TXN11829,2023-05-14,Lekki,Personal Care,Dark & Lovely Cream,8670,5,43350,29880,13470.0,Male,18-25,Mobile Money (OPay/Palmpay)
TXN10049,2023-08-29,Owerri,Grains & Staples,Beans (2kg),7190,2,14380,11736,2644.0,Male,36-45,Transfer
TXN11602,2024-02-05,Kano,Fresh Produce,Watermelon,740,3,2220,1540,680.0,Male,18-25,Cash
TXN17185,2024-06-29,Owerri,Grains & Staples,Golden Penny Flour (5kg),2740,3,8220,6559,1661.0,Female,26-35,Cash
TXN12382,2024-02-22,Owerri,Fresh Produce,Carrot (500g),2350,5,11750,8169,3581.0,Male,26-35,Mobile Money (OPay/Palmpay)
TXN16119,2023-11-02,Abuja-Garki,Baby Products,Baby Shampoo,10790,4,43160,29296,13864.0,Male,18-25,Cash
TXN15356,2023-11-05,Ikorodu,Beverages,Nestle Water (75cl x 12),820,1,820,645,175.0,Female,36-45,Cash
TXN12859,2023-08-18,Ikeja,Snacks & Confectionery,Cadbury Chocolate,650,2,1300,813,487.0,Female,46-55,Mobile Money (OPay/Palmpay)
TXN15686,2023-05-09,Surulere,Frozen & Dairy,Mackerel Fish (1kg),11110,4,44440,36452,7988.0,Female,36-45,Cash
TXN12161,2023-03-28,Ikeja,Personal Care,Always Pad (night),7790,4,31160,21068,10092.0,Male,18-25,Transfer
TXN12651,2024-01-17,Lagos-Island,Household & Cleaning,Dustbin (medium),2330,1,2330,1680,650.0,Male,26-35,Mobile Money (OPay/Palmpay)
TXN12807,2023-07-07,Ikorodu,Grains & Staples,Golden Morn Cereal,5670,1,5670,4472,1198.0,Male,26-35,Cash
TXN10685,2023-04-13,Owerri,Snacks & Confectionery,Cadbury Chocolate,4050,1,4050,2665,1385.0,Female,36-45,POS/Card
TXN14844,2023-03-13,Ikeja,Personal Care,Always Pad (night),7370,1,7370,4805,2565.0,Female,26-35,Cash
TXN17251,2023-02-05,Abuja-Garki,Snacks & Confectionery,Digestive Biscuit,3430,5,17150,10413,6737.0,Male,18-25,POS/Card
TXN10075,2024-03-11,Surulere,Fresh Produce,Ugu Leaves,2950,1,2950,2193,757.0,Male,18-25,Transfer
TXN17210,2023-11-18,Port Harcourt,Fresh Produce,Pepper (mixed 500g),2430,3,7290,5590,1700.0,Female,26-35,Cash
TXN17089,2024-02-13,Ibadan,Grains & Staples,Dangote Rice (5kg),3000,10,30000,24813,5187.0,Male,26-35,Cash
TXN10718,2023-07-15,Lekki,Fresh Produce,Tomatoes (1kg),4410,10,44100,30169,13931.0,Male,36-45,Transfer
TXN14851,2024-01-08,Surulere,Frozen & Dairy,Lactose Cheese Slice,6250,2,12500,10237,2263.0,Female,18-25,Cash
TXN16665,2023-08-24,Owerri,Household & Cleaning,Bucket (15L),3170,3,9510,6259,-975.0,Male,36-45,POS/Card
TXN12485,2023-08-01,Ikorodu,Grains & Staples,Garri (5kg),2670,3,8010,6595,1415.0,Male,26-35,POS/Card
TXN11296,2023-04-03,Abuja-Wuse,Grains & Staples,Oat Meal (1kg),2790,1,2790,2041,749.0,Female,26-35,Transfer
TXN10329,2023-05-31,Ibadan,Fresh Produce,Watermelon,910,8,7280,5484,1796.0,Male,26-35,Cash
TXN15030,2023-07-06,Ikorodu,Frozen & Dairy,Butter (250g),5310,3,15930,12023,3907.0,Female,26-35,Cash
TXN17189,2024-03-13,Lekki,Fresh Produce,Yam (tuber),2300,2,4600,3274,1326.0,Male,46-55,Transfer
TXN17322,2023-08-09,Lagos-Island,Household & Cleaning,Toilet Roll (12 pack),6990,1,6990,4719,2271.0,Female,36-45,Transfer
TXN14520,2024-06-05,Lekki,Household & Cleaning,Morning Fresh Dishwash,5110,5,25550,18242,7308.0,Female,26-35,POS/Card
TXN16363,2023-12-11,Abuja-Garki,Baby Products,Baby Shampoo,11240,1,11240,7972,3268.0,Male,36-45,Transfer
TXN16662,2023-05-04,Owerri,Grains & Staples,Dangote Rice (5kg),5720,2,11440,8737,2703.0,Male,36-45,Mobile Money (OPay/Palmpay)
TXN11816,2023-07-10,Lagos-Island,Fresh Produce,Carrot (500g),4480,2,8960,6520,2440.0,Male,18-25,Mobile Money (OPay/Palmpay)
TXN17058,2023-09-16,Port Harcourt,Personal Care,Vaseline Lotion (400ml),2560,3,7680,5054,2626.0,Female,26-35,Transfer
TXN16900,2023-02-28,Port Harcourt,Frozen & Dairy,Turkey Wings (1kg),8640,1,8640,6806,1834.0,Male,55+,Transfer
TXN17297,2023-10-09,Ikorodu,Fresh Produce,Watermelon,1560,4,6240,4488,1752.0,,46-55,Cash
TXN11205,2024-01-29,Kano,Grains & Staples,Golden Penny Flour (5kg),620,5,3100,2392,708.0,Male,18-25,Cash
TXN11675,2023-07-03,Ibadan,Beverages,Malta Guinness (35cl),6040,2,12080,9483,2597.0,Female,26-35,Cash
TXN12649,2024-04-23,Ibadan,Grains & Staples,Garri (5kg),4850,2,9700,7857,1843.0,Male,26-35,Cash
TXN14810,2023-08-31,Owerri,Beverages,Malt Drink (33cl x 24),1280,2,2560,1982,578.0,Male,36-45,Mobile Money (OPay/Palmpay)
TXN13354,2024-05-17,Abuja-Wuse,Beverages,Chi Exotic Juice (1L),1770,1,1770,1317,453.0,Male,46-55,POS/Card
TXN12664,2023-08-20,Ibadan,Snacks & Confectionery,Digestive Biscuit,3220,2,6440,3912,2528.0,Female,36-45,Cash
TXN11417,2023-07-11,Lekki,Frozen & Dairy,Turkey Wings (1kg),14200,2,28400,23393,5007.0,Male,46-55,POS/Card
TXN10354,2024-05-03,Port Harcourt,Beverages,Coca-Cola (35cl x 12),5190,1,5190,3958,1232.0,Male,26-35,Transfer
TXN16951,2024-04-15,Port Harcourt,Fresh Produce,Plantain (bunch),930,4,3720,2671,1049.0,Female,36-45,Cash
TXN14879,2024-01-18,Ikeja,Beverages,Lucozade Boost,1540,3,4620,3431,1189.0,Female,46-55,Transfer
TXN14435,2024-06-05,Ibadan,Grains & Staples,Golden Morn Cereal,4270,1,4270,3253,1017.0,Male,36-45,Cash
TXN13936,2023-02-05,Ikeja,Grains & Staples,Golden Penny Flour (5kg),6150,6,36900,28007,8893.0,Male,36-45,Transfer
TXN16627,2024-01-19,Abuja-Wuse,Snacks & Confectionery,Digestive Biscuit,4640,1,4640,2796,1844.0,Male,18-25,POS/Card
TXN14698,2023-12-19,Lekki,Baby Products,Baby Powder (Johnson),9170,3,27510,18438,9072.0,Female,36-45,Transfer
TXN11739,2023-01-16,Ikorodu,Fresh Produce,Carrot (500g),1880,12,22560,16286,6274.0,Female,36-45,Cash
TXN11394,2024-04-03,Lekki,Snacks & Confectionery,Pringles (165g),5340,2,10680,6725,3955.0,Female,36-45,Transfer
TXN11743,2024-01-13,Enugu,Baby Products,Baby Rash Cream,3840,1,3840,2909,931.0,Female,36-45,POS/Card
TXN12288,2023-09-21,Lagos-Island,Personal Care,Dettol Soap (6 pack),10400,1,10400,6822,3578.0,Female,46-55,Cash
TXN12430,2023-11-02,Enugu,Beverages,Peak Milk (400g),4060,3,12180,9082,3098.0,Male,18-25,Cash
TXN10562,2024-04-05,Port Harcourt,Beverages,Bournvita (500g),2060,2,4120,3293,827.0,Female,46-55,Transfer
TXN16599,2024-02-18,Owerri,Fresh Produce,Yam (tuber),1620,12,19440,14024,5416.0,Male,26-35,Cash
TXN14455,2023-10-23,Ibadan,Grains & Staples,Golden Penny Flour (5kg),1880,1,1880,1521,359.0,Male,46-55,Cash
TXN12145,2023-11-23,Abuja-Wuse,Grains & Staples,Spaghetti (500g),7350,6,44100,35492,8608.0,Male,46-55,Transfer
TXN16556,2023-10-08,Kano,Snacks & Confectionery,Cadbury Chocolate,3560,1,3560,2443,1117.0,Female,26-35,Cash
TXN16820,2023-05-01,Lagos-Island,Frozen & Dairy,Frozen Chicken (1kg),6030,1,6030,4696,1334.0,Female,36-45,Transfer
TXN15131,2023-11-18,Abuja-Wuse,Frozen & Dairy,Peak Evaporated Milk (tin),15060,3,45180,37410,7770.0,Female,36-45,POS/Card
TXN13261,2024-03-09,Abuja-Garki,Personal Care,Vaseline Lotion (400ml),3420,3,10260,7327,2933.0,Female,36-45,Transfer
TXN10201,2024-04-21,Enugu,Beverages,Ribena (250ml),5250,2,10500,7460,3040.0,Female,26-35,Cash
TXN17195,2023-11-08,Ikeja,Grains & Staples,Dangote Rice (5kg),8060,1,8060,6574,1486.0,,26-35,Mobile Money (OPay/Palmpay)
TXN15569,2024-01-26,Ikorodu,Beverages,Lucozade Boost,3520,2,7040,5267,1773.0,Female,55+,POS/Card
TXN15303,2024-03-25,Ibadan,Snacks & Confectionery,Tom Tom Candy (pack),3890,2,7780,5004,2776.0,Male,18-25,Cash
TXN13452,2024-05-23,Lagos-Island,Household & Cleaning,Toilet Roll (12 pack),6890,2,13780,9437,4343.0,Male,46-55,Cash
TXN15814,2023-07-15,Owerri,Grains & Staples,Spaghetti (500g),1360,6,8160,6679,1481.0,Female,26-35,Mobile Money (OPay/Palmpay)
TXN11712,2023-09-12,Ibadan,Fresh Produce,Pepper (mixed 500g),2750,6,16500,11565,4935.0,Female,26-35,Cash
TXN14801,2023-07-30,Ikeja,Grains & Staples,Golden Morn Cereal,1530,1,1530,1222,308.0,Female,26-35,Mobile Money (OPay/Palmpay)
TXN12680,2023-06-05,Surulere,Frozen & Dairy,Turkey Wings (1kg),7030,6,42180,34157,8023.0,Female,26-35,POS/Card
TXN14704,2023-02-03,Kano,Baby Products,Baby Rash Cream,10700,3,32100,22833,9267.0,Male,36-45,Transfer
TXN12979,2023-09-25,Ibadan,Fresh Produce,Tomatoes (1kg),2840,3,8520,6328,2192.0,Male,36-45,Transfer
TXN13189,2024-05-12,Surulere,Household & Cleaning,Safi Bleach (1L),6190,6,37140,24668,-3742.0,Female,36-45,Transfer
TXN10095,2023-09-18,Port Harcourt,Household & Cleaning,Ariel Detergent (2kg),4740,6,28440,19403,9037.0,Male,26-35,POS/Card
TXN14305,2023-06-03,Surulere,Grains & Staples,Indomie Noodles (40 pack),4410,1,4410,3379,1031.0,Male,36-45,Transfer
TXN11177,2023-02-07,Abuja-Garki,Household & Cleaning,Air Freshener (Glade),3170,1,3170,2208,962.0,,18-25,POS/Card
TXN11246,2023-07-05,Lagos-Island,Beverages,Malt Drink (33cl x 24),9170,1,9170,6880,2290.0,Male,36-45,Mobile Money (OPay/Palmpay)
TXN11135,2023-10-09,Surulere,Grains & Staples,Oat Meal (1kg),5290,3,15870,12589,3281.0,Female,,POS/Card
TXN13641,2023-10-05,Lekki,Fresh Produce,Onions (1kg),1230,1,1230,850,380.0,Male,46-55,Cash
TXN15084,2023-09-19,Ikorodu,Baby Products,SMA Gold (400g),6330,1,6330,4749,1581.0,Male,26-35,POS/Card
TXN10259,2024-01-29,Lekki,Baby Products,Baby Rash Cream,17080,2,34160,23964,10196.0,Male,36-45,POS/Card
TXN10370,2024-06-21,Abuja-Garki,Frozen & Dairy,Sausage Roll (5 pack),13070,1,13070,9860,3210.0,Female,36-45,Transfer
TXN15352,2023-07-04,Lekki,Grains & Staples,Spaghetti (500g),8610,1,8610,6732,1878.0,Female,46-55,Transfer
TXN12696,2024-05-20,Owerri,Fresh Produce,Pawpaw,1240,5,6200,4303,1897.0,Male,36-45,Transfer
TXN14303,2023-11-30,Port Harcourt,Baby Products,Cerelac (500g),7280,5,36400,25931,10469.0,Male,26-35,Cash
TXN12416,2023-04-16,Ibadan,Snacks & Confectionery,Pringles (165g),3260,2,6520,4173,2347.0,Female,55+,Transfer
TXN14412,2023-02-10,Enugu,Fresh Produce,Plantain (bunch),2430,1,2430,1818,612.0,Male,46-55,Cash
TXN13993,2023-04-29,Ibadan,Beverages,Chi Exotic Juice (1L),6670,1,6670,5018,1652.0,Male,46-55,Cash
TXN17163,2023-07-29,Lagos-Island,Baby Products,SMA Gold (400g),18520,3,55560,38123,17437.0,Male,26-35,Transfer
TXN10838,2024-05-08,Lekki,Fresh Produce,Cucumber (3 pack),2870,5,14350,9961,4389.0,Female,36-45,POS/Card
TXN16658,2024-05-01,Surulere,Grains & Staples,Spaghetti (500g),7990,3,23970,18932,5038.0,Male,46-55,POS/Card
TXN12700,2024-05-22,Surulere,Household & Cleaning,Bucket (15L),3770,1,3770,2525,1245.0,Male,55+,Transfer
TXN11771,2023-08-31,Abuja-Garki,Fresh Produce,Plantain (bunch),1050,2,2100,1470,630.0,Female,36-45,Mobile Money (OPay/Palmpay)
TXN15376,2023-09-25,Port Harcourt,Fresh Produce,Carrot (500g),630,2,1260,890,370.0,Male,46-55,Cash
TXN14854,2023-02-23,Abuja-Wuse,Beverages,Hollandia Yogurt (1L),1850,2,3700,2935,765.0,Female,46-55,Transfer
TXN13108,2024-06-16,Abuja-Wuse,Snacks & Confectionery,Peanut Butter (340g),5780,4,23120,15220,7900.0,Female,46-55,Transfer
TXN10568,2023-01-28,Lagos-Island,Beverages,Malt Drink (33cl x 24),1870,2,3740,2674,1066.0,Male,18-25,POS/Card
TXN12749,2023-04-13,Enugu,Frozen & Dairy,Peak Evaporated Milk (tin),7470,5,37350,29050,8300.0,Female,46-55,POS/Card
TXN13013,2024-05-05,Lagos-Island,Personal Care,Dark & Lovely Cream,8670,2,17340,11061,6279.0,Male,26-35,POS/Card
TXN16564,2024-04-19,Lekki,Baby Products,Teething Ring,5470,2,10940,8218,2722.0,Female,26-35,Transfer
TXN15707,2023-08-20,Ikeja,Frozen & Dairy,Prawn (500g),10400,3,31200,24795,6405.0,Male,46-55,Cash
TXN15825,2023-04-18,Lekki,Snacks & Confectionery,Cadbury Chocolate,2060,3,6180,4068,2112.0,Female,36-45,Cash
TXN15769,2024-05-19,Abuja-Wuse,Beverages,Chi Exotic Juice (1L),7150,1,7150,5041,2109.0,Female,46-55,Cash
TXN10185,2024-05-06,Ikeja,Grains & Staples,Cornflakes (500g),7870,5,39350,32079,7271.0,Female,18-25,Mobile Money (OPay/Palmpay)
TXN15288,2024-05-27,Enugu,Snacks & Confectionery,Cadbury Chocolate,3080,2,6160,4270,1890.0,Male,36-45,Cash
TXN15421,2023-06-27,Ibadan,Fresh Produce,Yam (tuber),1340,1,1340,958,382.0,Female,18-25,Cash
TXN16909,2023-08-24,Ikeja,Grains & Staples,Semovita (2kg),5520,2,11040,8574,2466.0,Female,46-55,Transfer
TXN14370,2024-05-08,Ibadan,Personal Care,Dettol Soap (6 pack),5970,2,11940,7895,4045.0,Male,26-35,Cash
TXN10781,2023-12-14,Enugu,Personal Care,Vaseline Lotion (400ml),7160,2,14320,9612,4708.0,Male,18-25,Transfer
TXN17057,2023-07-14,Enugu,Fresh Produce,Pepper (mixed 500g),1140,1,1140,827,313.0,Female,36-45,Transfer
TXN13307,2024-04-23,Abuja-Wuse,Fresh Produce,Cucumber (3 pack),960,1,960,697,263.0,Male,26-35,POS/Card
TXN13055,2023-05-12,Abuja-Wuse,Fresh Produce,Plantain (bunch),1190,1,1190,897,293.0,Male,36-45,POS/Card
TXN13784,2024-01-30,Surulere,Beverages,Hollandia Yogurt (1L),6040,1,6040,4330,1710.0,Female,18-25,Transfer
TXN16298,2023-01-16,Abuja-Wuse,Beverages,Malt Drink (33cl x 24),9030,1,9030,6365,2665.0,Female,36-45,POS/Card
TXN13257,2023-01-08,Enugu,Snacks & Confectionery,Cadbury Chocolate,1150,2,2300,1492,808.0,Female,26-35,Transfer
TXN11373,2023-10-10,Abuja-Wuse,Grains & Staples,Cornflakes (500g),5480,1,5480,4227,1253.0,Male,18-25,Cash
TXN16132,2023-09-27,Lagos-Island,Fresh Produce,Ugu Leaves,3930,1,3930,2699,1231.0,Female,36-45,POS/Card
TXN13725,2023-09-13,Ibadan,Frozen & Dairy,Prawn (500g),6160,1,6160,4953,1207.0,Male,26-35,Mobile Money (OPay/Palmpay)
TXN12216,2023-06-08,Surulere,Personal Care,Oral-B Toothbrush,4760,1,4760,3117,1643.0,Female,46-55,POS/Card
TXN11908,2024-03-08,Ikorodu,Grains & Staples,Semovita (2kg),3250,4,13000,9841,3159.0,Female,46-55,Cash
TXN13105,2024-02-23,Ikeja,Personal Care,Dark & Lovely Cream,1170,1,1170,804,366.0,Female,46-55,POS/Card
TXN17268,2023-10-21,Lagos-Island,Snacks & Confectionery,Cadbury Chocolate,3280,3,9840,6606,3234.0,Male,26-35,Transfer
TXN13585,2023-06-17,Ibadan,Household & Cleaning,Air Freshener (Glade),4060,2,8120,5901,2219.0,Female,26-35,Cash
TXN17361,2024-04-27,Abuja-Wuse,Beverages,Nestle Water (75cl x 12),8190,3,24570,18126,6444.0,Male,46-55,Cash
TXN15050,2024-06-13,Ibadan,Baby Products,Baby Shampoo,9020,5,45100,32283,12817.0,Female,36-45,POS/Card
TXN17444,2023-01-16,Kano,Household & Cleaning,Ariel Detergent (2kg),1180,1,1180,840,340.0,Female,36-45,Cash
TXN16938,2023-05-25,Lekki,Household & Cleaning,Dustbin (medium),2130,3,6390,4534,1856.0,Male,36-45,Transfer
